"經度,緯度",南北半球,產生時間(mins),設備容量(kW),天氣現象,面板溫度(°),期間平均室外溫度(°),期間平均太陽輻射量(kW/m2),期間降雨量(mm),雲層覆蓋率(%),遮蔽率(%),故障率(%),擺放角度(°),期間平均日照時數(h),太陽照射角度(°),海拔(m)
"-125.4235129094753,-48.664943874965786",南半球,33,773,5,32.8446850192,32.679197773693936,5.438319738755988,144,58.95027313952566,87,69,79,9.851934446513841,71,4735
"-106.25020051536765,-66.52012972248176",南半球,36,8001,4,15.492449680200538,19.8125665595912,6.5896240941417785,52,44.78775883748939,96,100,1,13.250937879002546,77,5125
"-23.19259918388741,15.655365892473725",北半球,99,7522,3,39.04649524421612,37.38557314266485,5.870574551563967,123,41.601465783347436,65,85,39,14.015648211996616,67,4462
"122.3097986697756,62.29660736258552",北半球,113,8210,4,11.397486403003336,11.464555450758077,4.395873903373544,194,54.19464230731288,71,99,28,10.993285846244907,63,6381
"-51.013003296644655,61.23868700618493",北半球,29,3370,3,29.922623677128648,19.26167896772795,3.763039821160823,93,59.50731951232622,33,31,26,9.718243317041708,15,8316
"-155.51239985236526,-50.4916559255718",南半球,114,5134,3,4.970857799952967,10.774628144775924,8.311810290709339,183,47.88434016860407,50,7,83,12.507758359535023,9,6581
"96.36850245130933,47.67700581489615",北半球,118,39,5,34.76056376489947,31.26939708063579,5.9697417881604276,172,53.30421767991918,44,58,58,11.206987756819398,50,7559
"156.00706163833894,-43.00682660398171",南半球,36,2183,6,21.36313581359769,20.44419896037728,5.391296741609747,111,63.229955068170376,56,96,54,8.824810783639109,75,-62
"-10.136586584741224,30.876774070463128",北半球,16,705,9,39.709984483343774,33.635219221431,4.445850722546591,10,56.81666495760822,95,89,1,10.364000410174029,10,1937
"11.572734351627446,-4.991681815021707",南半球,25,6132,3,19.889713583419756,26.814842078828708,8.234834342571087,22,46.66026659180401,42,5,62,12.801536017967038,14,1397
"164.4151648230087,34.35012272407455",北半球,105,4770,8,34.96658102353605,33.26555251588083,3.1412786687446146,66,78.43629166867674,72,88,5,5.175289999517583,58,1733
"-70.27121091737038,-21.504448281643462",南半球,90,8128,7,46.48897781205146,48.39933485146242,5.392057707647827,24,62.406688826265054,48,12,71,9.022394681696387,34,5913
"179.91545714810303,1.6555517307527197",北半球,1,6318,4,22.700536760224153,19.18435982268128,8.18638153764706,57,37.77533971040715,98,70,64,14.933918469502284,78,5485
"146.58949412174968,40.24432731880654",北半球,55,1606,3,32.938843905338814,29.294856493431602,9.350867576719697,40,26.399681250081215,74,21,47,17.66407649998051,64,3493
"-19.936167077246438,19.658024529708726",北半球,16,7847,1,27.169629688031222,22.939045109818576,4.466829279122816,176,60.950495288376594,27,18,38,9.371881130789617,62,2726
"127.8803828700801,-28.554663778597558",南半球,104,1135,6,31.699207515367814,28.69414064978951,9.666060465119314,111,35.88609882298822,80,27,68,15.387336282482828,42,2756
"-88.76637579091681,-1.9262936237344945",南半球,30,1095,7,40.65582567753499,41.377972292322085,5.869081952389825,172,32.71906621437746,29,74,51,16.14742410854941,3,5717
"-116.07867349041422,-51.53463882074249",南半球,99,4759,5,35.62210207994933,27.49964729415852,4.812203252678187,81,56.40953571820067,6,65,60,10.461711427631839,2,1484
"73.61841361653015,15.596961749103912",北半球,30,9741,8,24.30350516403471,25.64762450754414,3.0224638451390895,174,68.5372907727051,52,10,85,7.551050214550775,51,7341
"134.92310226458528,-42.471646292659585",南半球,94,2021,3,39.34244413665881,38.06067708619112,8.813023293233572,165,36.431821677697705,56,71,55,15.25636279735255,35,7282
"63.48432228821994,-39.418072225374225",南半球,5,1431,6,43.68755333802184,35.33226719473014,2.2008590587174828,76,84.37740918305664,34,36,85,3.7494217960664056,36,8025
"42.724304295361975,7.339699563855902",北半球,59,3087,7,20.459941469417256,8.84550251642461,3.824918137008516,76,63.335681705793164,56,90,84,8.79943639060964,16,1532
"24.360164012237675,-36.82032348070755",南半球,39,9883,2,28.700658763677072,23.32880321016713,4.721712225445266,32,46.66251671922197,4,57,55,12.800995987386727,46,6040
"43.568288501159884,-9.285508467976598",南半球,110,3658,3,35.04410643553968,31.972967294266127,4.523976010711703,68,53.11242885050098,83,40,21,11.253017075879765,31,6750
"-59.737946599313034,-54.80114674284769",南半球,68,2915,3,20.90623469437818,21.143889276815816,8.072466257268108,146,31.972296404268334,15,49,36,16.3266488629756,46,478
"77.56583348145654,45.040089318520074",北半球,63,7336,5,29.878753482424102,26.640945941888507,7.08924651882908,195,52.307048695156105,91,84,27,11.446308313162534,62,3207
"36.95144592882181,26.56390571044834",北半球,79,9678,9,25.232627822223275,18.472204509765906,5.474488558266737,144,58.05669928948392,32,46,61,10.066392170523859,79,7506
"85.00785271925042,40.09242610195855",北半球,116,2112,9,45.99696995514795,44.11451351884769,4.365499494965174,21,58.09923167264539,76,11,54,10.056184398565106,55,4619
"-83.60091283271578,-19.686600209330706",南半球,74,6742,3,22.951656377657844,26.68413609653801,8.687050997618016,70,44.36609119342083,33,43,88,13.352138113579,22,1146
"18.930842095470865,0.30222751931222547",北半球,63,6271,6,43.08209293841519,41.43014338519766,8.819808170814387,185,26.56492687072398,64,44,6,17.624417551026244,61,4957
"-4.227378141008018,-62.60978636180043",南半球,68,9776,4,19.656197584032448,29.10546081999142,3.515088494433516,11,67.74311783381278,18,8,53,7.741651719884934,0,3419
"102.03266883532376,80.72042664875116",北半球,79,9853,9,11.388103581670798,12.221367080178862,5.3019380646603915,77,47.63789385683531,39,96,70,12.566905474359526,83,5732
"-51.62701999547451,-78.98474325526035",南半球,114,6865,9,13.983041775559549,18.333052096849087,3.3216131712478694,186,67.14293994567643,77,33,17,7.8856944130376565,53,2746
"-74.53161940522193,-82.39301823694572",南半球,40,5734,8,24.11068816361345,21.541932113151265,4.8259281965386664,144,58.40087319782743,7,58,87,9.983790432521417,3,4821
"126.92262151122833,-19.02912896930384",南半球,77,9918,5,38.93352173721388,35.402107728532286,3.3012607929036064,190,62.92290067411322,24,51,23,8.898503838212827,87,7538
"-122.31138292675871,47.59094729608756",北半球,85,384,7,37.10947647221309,30.0008548807931,7.144250404612582,75,40.93956372100536,93,5,60,14.174504706958714,8,1025
