"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大六十分鐘降水量(mm)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"14","1019.5","1021.0","1021.6","2023/11/14 09:10:00","1017.3","2023/11/14 15:05:00","22.8","29.1","2023/11/14 12:46:00","18.3","2023/11/14 05:36:00","16.8","70","50","2023/11/14 12:47:00","0.9","300","6.2","290","2023/11/14 16:01:00","0.0","0.0","0.0","0.0","8.1","73.8","16.64","10.8","2.3","6","2023/11/14 12:00:00","5.4","25.3","26.5","27.3","28.3","28.6","29.5","30.0"
"15","1019.0","1020.5","1020.8","2023/11/15 08:41:00","1016.9","2023/11/15 13:51:00","23.4","29.1","2023/11/15 12:23:00","18.6","2023/11/15 05:54:00","19.1","78","51","2023/11/15 12:41:00","0.9","300","7.0","260","2023/11/15 14:30:00","0.0","0.0","0.0","0.0","9.6","87.6","16.82","12.4","3.7","6","2023/11/15 13:00:00","1.6","25.3","26.2","27.1","27.9","28.3","29.4","30.0"
"16","1018.8","1020.3","1021.1","2023/11/16 08:42:00","1016.0","2023/11/16 14:50:00","24.4","31.0","2023/11/16 12:59:00","20.8","2023/11/16 02:06:00","19.1","74","45","2023/11/16 12:28:00","1.2","330","8.2","320","2023/11/16 13:20:00","0.0","0.0","0.0","0.0","9.7","88.6","16.96","12.0","7.4","7","2023/11/16 12:00:00","2.4","25.9","26.6","27.3","27.9","28.2","29.3","29.9"
"17","1019.0","1020.5","1020.7","2023/11/17 08:57:00","1017.1","2023/11/17 16:02:00","20.0","24.7","2023/11/17 12:46:00","15.8","2023/11/17 23:51:00","12.1","61","47","2023/11/17 16:58:00","1.1","350","7.4","30","2023/11/17 06:08:00","0.0","0.0","0.0","0.0","5.2","47.6","14.65","12.4","4.5","7","2023/11/17 12:00:00","6.0","22.8","25.5","26.6","27.7","28.1","29.3","30.0"
"18","1019.3","1020.8","1021.3","2023/11/18 08:37:00","1016.9","2023/11/18 15:40:00","18.7","25.6","2023/11/18 12:35:00","13.6","2023/11/18 06:34:00","11.8","65","48","2023/11/18 12:09:00","1.0","270","7.5","250","2023/11/18 12:56:00","0.0","0.0","0.0","0.0","9.0","82.4","16.57","9.2","3.0","5","2023/11/18 12:00:00","1.4","21.7","24.4","25.5","26.9","27.4","29.1","29.9"
"19","1018.0","1019.5","1019.6","2023/11/19 00:01:00","1015.6","2023/11/19 14:53:00","19.5","25.5","2023/11/19 12:45:00","13.0","2023/11/19 04:11:00","13.8","71","49","2023/11/19 10:17:00","0.8","290","5.8","290","2023/11/19 11:44:00","0.0","0.0","0.0","0.0","10.1","92.6","17.14","10.6","3.2","6","2023/11/19 12:00:00","2.2","21.7","23.7","24.9","26.2","26.8","28.7","29.8"
"20","1016.7","1018.2","1018.2","2023/11/20 07:55:00","1014.9","2023/11/20 14:27:00","20.4","27.0","2023/11/20 12:12:00","15.4","2023/11/20 05:53:00","15.1","74","46","2023/11/20 11:48:00","0.9","300","7.7","280","2023/11/20 13:30:00","0.0","0.0","0.0","0.0","9.5","87.2","17.30","10.0","3.7","6","2023/11/20 12:00:00","1.2","22.4","23.9","24.9","26.0","26.5","28.5","29.7"
"21","1015.1","1016.6","1017.2","2023/11/21 00:01:00","1012.5","2023/11/21 15:22:00","21.2","28.9","2023/11/21 12:08:00","15.7","2023/11/21 06:15:00","15.8","74","40","2023/11/21 12:09:00","0.9","280","6.3","260","2023/11/21 13:01:00","0.0","0.0","0.0","0.0","10.4","95.6","18.03","20.6","4.4","6","2023/11/21 12:00:00","0.4","22.7","23.9","24.9","25.9","26.4","28.2","29.6"
"22","1013.9","1015.4","1015.6","2023/11/22 08:42:00","1011.9","2023/11/22 14:39:00","21.2","28.9","2023/11/22 12:43:00","15.4","2023/11/22 05:19:00","16.1","76","40","2023/11/22 11:38:00","0.8","340","7.7","260","2023/11/22 12:44:00","0.0","0.0","0.0","0.0","10.4","95.7","18.02","12.4","3.6","6","2023/11/22 12:00:00","1.2","22.6","23.9","24.8","25.9","26.3","28.1","29.5"
"23","1014.0","1015.5","1015.6","2023/11/23 22:36:00","1012.5","2023/11/23 14:24:00","21.7","29.0","2023/11/23 13:19:00","15.7","2023/11/23 06:28:00","16.1","74","38","2023/11/23 11:34:00","0.9","280","6.5","260","2023/11/23 13:08:00","0.0","0.0","0.0","0.0","10.2","94.0","17.36","11.8","3.2","6","2023/11/23 12:00:00","2.6","23.0","23.8","24.7","25.8","26.1","27.9","29.4"
"24","1016.5","1018.0","1018.4","2023/11/24 21:18:00","1014.6","2023/11/24 03:21:00","21.5","28.0","2023/11/24 12:10:00","16.2","2023/11/24 05:02:00","17.1","78","48","2023/11/24 12:04:00","1.0","260","6.4","280","2023/11/24 13:14:00","0.0","0.0","0.0","0.0","9.7","89.5","16.81","11.6","3.5","6","2023/11/24 12:00:00","0.4","23.2","24.1","24.9","25.8","26.1","27.8","29.3"
"25","1018.0","1019.5","1019.7","2023/11/25 09:19:00","1016.4","2023/11/25 14:56:00","21.1","28.0","2023/11/25 12:34:00","15.9","2023/11/25 05:51:00","16.9","79","46","2023/11/25 14:04:00","0.9","280","6.5","250","2023/11/25 13:47:00","0.0","0.0","0.0","0.0","9.8","90.5","16.79","8.6","3.8","6","2023/11/25 12:00:00","0.8","22.8","24.1","24.8","25.8","26.2","27.8","29.2"
"26","1016.6","1018.1","1018.8","2023/11/26 00:01:00","1013.8","2023/11/26 15:22:00","21.8","28.0","2023/11/26 12:07:00","16.6","2023/11/26 06:23:00","17.5","79","53","2023/11/26 10:46:00","0.7","270","7.0","270","2023/11/26 13:13:00","0.0","0.0","0.0","0.0","10.1","93.3","16.65","10.0","3.1","6","2023/11/26 12:00:00","1.0","23.3","24.2","24.9","25.8","26.1","27.7","29.1"
"27","1014.8","1016.3","1016.4","2023/11/27 08:53:00","1012.8","2023/11/27 14:56:00","22.8","29.0","2023/11/27 14:50:00","17.4","2023/11/27 03:59:00","17.6","75","50","2023/11/27 14:51:00","0.5","10","4.3","300","2023/11/27 12:51:00","0.0","0.0","0.0","0.0","4.5","41.6","12.42","11.4","3.3","5","2023/11/27 13:00:00","5.8","23.9","24.3","25.0","25.8","26.1","27.6","29.0"
"28","1015.8","1017.3","1017.8","2023/11/28 09:09:00","1014.3","2023/11/28 15:09:00","23.2","28.8","2023/11/28 13:01:00","18.1","2023/11/28 06:30:00","18.7","76","57","2023/11/28 13:01:00","0.9","270","5.8","260","2023/11/28 13:09:00","0.0","0.0","0.0","0.0","6.1","56.5","13.15","6.6","3.1","5","2023/11/28 13:00:00","4.2","24.7","24.8","25.4","26.0","26.2","27.5","28.9"
"29","1016.6","1018.1","1018.1","2023/11/29 09:22:00","1015.1","2023/11/29 14:55:00","24.3","29.2","2023/11/29 11:37:00","19.7","2023/11/29 05:58:00","19.3","75","46","2023/11/29 15:00:00","0.8","260","5.2","250","2023/11/29 13:45:00","0.0","0.0","0.0","0.0","3.8","35.2","11.67","9.4","2.9","5","2023/11/29 12:00:00","7.0","25.1","25.4","25.9","26.3","26.5","27.6","28.8"
"30","1017.1","1018.6","1018.6","2023/11/30 22:02:00","1014.7","2023/11/30 14:10:00","24.6","29.9","2023/11/30 13:19:00","21.6","2023/11/30 23:04:00","19.9","76","54","2023/11/30 13:16:00","0.9","340","6.2","260","2023/11/30 12:54:00","0.0","0.0","0.0","0.0","1.4","13.0","10.36","5.0","2.9","5","2023/11/30 12:00:00","9.2","26.1","25.8","26.2","26.6","26.8","27.6","28.8"
