"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"21","1026.6","1029.9","1030.6","2023/12/21 22:30:00","1022.7","2023/12/21 01:43:00","11.7","14.1","2023/12/21 00:14:00","9.5","2023/12/21 23:53:00","9.2","85","68","2023/12/21 22:05:00","7.3","10","16.6","10","2023/12/21 06:00:00","12.0","22.1","0.5","2023/12/21 01:02:00","2.0","2023/12/21 02:03:00","0.0","0.0","0.43","5.8","/","0","2023/12/21 12:00:00","10.0"
"22","1030.3","1033.6","1032.3","2023/12/22 09:15:00","1028.9","2023/12/22 23:53:00","11.8","14.6","2023/12/22 23:41:00","9.2","2023/12/22 00:40:00","5.1","64","55","2023/12/22 09:24:00","6.4","20","15.9","360","2023/12/22 03:25:00","T","3.2","T","2023/12/22 00:01:00","T","2023/12/22 00:01:00","0.0","0.0","1.40","11.6","-1.0","1","2023/12/22 12:00:00","10.0"
"23","1026.1","1029.4","1029.1","2023/12/23 00:04:00","1023.6","2023/12/23 14:41:00","14.9","16.2","2023/12/23 23:02:00","13.0","2023/12/23 06:24:00","12.4","86","54","2023/12/23 00:03:00","4.2","20","13.5","30","2023/12/23 23:51:00","45.5","20.5","2.5","2023/12/23 15:50:00","7.5","2023/12/23 18:52:00","0.0","0.0","2.47","6.4","0.0","2","2023/12/23 11:00:00","10.0"
"24","1026.6","1029.9","1027.9","2023/12/24 19:41:00","1024.6","2023/12/24 03:01:00","14.6","16.5","2023/12/24 08:52:00","13.0","2023/12/24 13:29:00","10.7","78","55","2023/12/24 22:43:00","6.4","10","16.9","360","2023/12/24 11:36:00","15.5","13.7","1.5","2023/12/24 01:13:00","4.0","2023/12/24 03:37:00","0.0","0.0","1.19","8.2","-2.0","1","2023/12/24 12:00:00","10.0"
"25","1026.0","1029.3","1028.0","2023/12/25 08:51:00","1024.6","2023/12/25 14:49:00","14.6","16.2","2023/12/25 23:59:00","13.8","2023/12/25 05:08:00","7.0","60","56","2023/12/25 01:51:00","4.9","30","12.6","20","2023/12/25 09:43:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","2.73","15.0","2.4","1","2023/12/25 12:00:00","9.6"
"26","1022.2","1025.4","1024.5","2023/12/26 00:01:00","1020.2","2023/12/26 14:29:00","18.3","21.5","2023/12/26 14:38:00","13.8","2023/12/26 06:41:00","12.2","68","52","2023/12/26 13:43:00","1.7","60","9.5","50","2023/12/26 11:44:00","0.0","0.0","0.0","--","0.0","--","7.0","66.4","13.81","13.8","2.0","5","2023/12/26 13:00:00","4.4"
"27","1020.2","1023.4","1022.0","2023/12/27 09:36:00","1019.2","2023/12/27 14:53:00","18.9","21.6","2023/12/27 13:06:00","16.3","2023/12/27 06:48:00","16.5","86","66","2023/12/27 12:58:00","1.3","360","5.3","350","2023/12/27 14:53:00","2.0","3.6","0.5","2023/12/27 19:48:00","1.0","2023/12/27 19:48:00","2.0","19.0","9.31","14.8","0.0","6","2023/12/27 13:00:00","8.6"
"28","1019.9","1023.1","1021.5","2023/12/28 09:15:00","1018.3","2023/12/28 02:25:00","19.2","20.4","2023/12/28 23:23:00","18.4","2023/12/28 06:49:00","18.1","94","79","2023/12/28 23:27:00","2.0","330","7.2","300","2023/12/28 14:18:00","12.0","9.3","2.0","2023/12/28 19:53:00","4.5","2023/12/28 05:48:00","0.0","0.0","1.85","9.4","-0.3","1","2023/12/28 14:00:00","10.0"
"29","1018.6","1021.8","1020.4","2023/12/29 00:01:00","1016.6","2023/12/29 23:53:00","19.6","20.4","2023/12/29 10:45:00","18.5","2023/12/29 19:04:00","17.7","89","80","2023/12/29 03:21:00","2.3","30","9.0","360","2023/12/29 06:01:00","5.5","9.5","0.5","2023/12/29 06:31:00","2.0","2023/12/29 18:11:00","0.0","0.0","1.00","11.2","0.0","1","2023/12/29 11:00:00","9.8"
"30","1014.6","1017.8","1016.6","2023/12/30 08:44:00","1012.9","2023/12/30 13:40:00","18.8","20.3","2023/12/30 13:13:00","17.4","2023/12/30 23:56:00","17.9","95","85","2023/12/30 12:23:00","1.3","360","6.6","300","2023/12/30 05:19:00","4.0","5.2","1.0","2023/12/30 00:56:00","2.0","2023/12/30 00:32:00","0.7","6.6","7.31","9.2","-1.1","5","2023/12/30 12:00:00","9.6"
"31","1017.5","1020.7","1021.4","2023/12/31 22:43:00","1013.5","2023/12/31 02:41:00","18.0","20.8","2023/12/31 10:40:00","16.1","2023/12/31 06:31:00","14.5","81","60","2023/12/31 22:30:00","3.7","40","12.9","40","2023/12/31 15:40:00","0.0","0.0","0.0","--","0.0","--","0.2","1.9","2.76","7.6","2.0","2","2023/12/31 11:00:00","9.4"
