"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"10","1015.6","1027.0","1018.7","2024/03/10 10:01:00","1014.1","2024/03/10 04:45:00","10.3","13.4","2024/03/10 13:55:00","9.2","2024/03/10 00:01:00","6.8","79","54","2024/03/10 12:10:00","4.6","20","13.1","20","2024/03/10 07:54:00","T","0.9","T","2024/03/10 21:05:00","T","2024/03/10 21:05:00","0.4","3.4","9.45","8.2","-1.5","6","2024/03/10 14:00:00","9.8","11.7","12.3","12.5","14.0","14.3"
"11","1009.0","1020.2","1014.3","2024/03/11 00:01:00","1005.6","2024/03/11 16:19:00","11.7","13.3","2024/03/11 16:27:00","10.2","2024/03/11 00:28:00","11.4","98","91","2024/03/11 06:45:00","2.3","10","8.6","10","2024/03/11 00:01:00","18.0","13.0","1.0","2024/03/11 08:28:00","3.5","2024/03/11 09:28:00","0.0","0.0","1.92","1.2","-0.4","2","2024/03/11 13:00:00","10.0","12.8","13.2","13.3","14.2","14.4"
"12","1010.1","1021.3","1013.1","2024/03/12 23:32:00","1008.6","2024/03/12 01:14:00","14.4","20.7","2024/03/12 14:19:00","10.1","2024/03/12 05:17:00","6.8","65","30","2024/03/12 14:27:00","2.2","120","8.9","50","2024/03/12 23:21:00","0.0","0.0","0.0","--","0.0","--","10.8","90.9","13.98","24.0","4.7","8","2024/03/12 13:00:00","0.8","13.9","14.4","14.3","14.6","14.6"
"13","1013.3","1024.7","1016.3","2024/03/13 09:07:00","1011.1","2024/03/13 19:40:00","11.3","13.4","2024/03/13 13:20:00","9.4","2024/03/13 05:43:00","6.6","73","56","2024/03/13 19:55:00","3.8","20","11.7","70","2024/03/13 02:24:00","0.0","0.0","0.0","--","0.0","--","1.2","10.1","7.18","8.2","-1.7","4","2024/03/13 11:00:00","9.6","12.5","13.5","13.9","15.1","15.2"
"14","1010.1","1021.3","1012.1","2024/03/14 00:32:00","1008.3","2024/03/14 14:39:00","12.2","15.1","2024/03/14 13:09:00","10.7","2024/03/14 05:00:00","9.7","85","63","2024/03/14 03:31:00","2.8","20","8.7","360","2024/03/14 23:45:00","T","1.7","T","2024/03/14 04:20:00","T","2024/03/14 04:20:00","0.0","0.0","3.11","5.0","-0.7","3","2024/03/14 13:00:00","10.0","13.4","13.9","14.0","14.9","15.0"
"15","1010.3","1021.5","1011.9","2024/03/15 09:52:00","1009.0","2024/03/15 03:31:00","12.3","12.9","2024/03/15 23:59:59","11.8","2024/03/15 01:02:00","12.3","100","98","2024/03/15 00:01:00","2.9","20","8.9","350","2024/03/15 00:15:00","3.0","10.9","X","--","X","--","0.0","0.0","3.29","2.2","-0.1","1","2024/03/15 13:00:00","10.0","13.5","13.9","14.1","14.9","15.0"
"16","1008.6","1019.7","1010.8","2024/03/16 00:01:00","1006.2","2024/03/16 17:37:00","13.7","15.3","2024/03/16 13:51:00","12.7","2024/03/16 00:48:00","13.7","100","100","2024/03/16 00:01:00","1.2","240","4.9","140","2024/03/16 17:58:00","8.5","5.3","2.0","2024/03/16 11:38:00","7.0","2024/03/16 11:28:00","0.0","0.0","2.46","1.6","-0.1","3","2024/03/16 14:00:00","10.0","14.6","14.7","14.6","15.0","15.0"
"17","1007.6","1018.8","1011.3","2024/03/17 23:36:00","1005.0","2024/03/17 14:39:00","14.5","18.9","2024/03/17 12:33:00","11.7","2024/03/17 23:55:00","13.8","96","83","2024/03/17 12:34:00","2.7","60","14.2","80","2024/03/17 20:44:00","0.0","0.0","0.0","--","0.0","--","6.6","55.0","11.12","2.4","-3.9","8","2024/03/17 13:00:00","4.0","15.9","16.2","15.9","15.8","15.7"
"18","1010.3","1021.5","1012.8","2024/03/18 09:08:00","1008.0","2024/03/18 14:21:00","10.9","13.5","2024/03/18 13:10:00","9.7","2024/03/18 17:47:00","8.2","84","65","2024/03/18 05:47:00","3.9","50","12.3","80","2024/03/18 04:59:00","T","0.2","T","2024/03/18 06:10:00","T","2024/03/18 06:10:00","0.0","0.0","3.68","17.4","-1.9","5","2024/03/18 14:00:00","10.0","13.0","14.2","14.6","16.0","16.1"
"19","1012.5","1023.8","1015.0","2024/03/19 23:15:00","1009.6","2024/03/19 02:26:00","11.6","15.9","2024/03/19 11:47:00","9.2","2024/03/19 01:59:00","9.7","89","71","2024/03/19 12:34:00","2.5","90","8.0","90","2024/03/19 14:54:00","1.0","0.9","0.5","2024/03/19 00:39:00","1.0","2024/03/19 00:39:00","6.6","54.7","9.38","17.0","2.7","9","2024/03/19 13:00:00","6.0","13.9","14.5","14.6","15.4","15.6"
"20","1015.8","1027.1","1018.2","2024/03/20 09:23:00","1013.9","2024/03/20 23:54:00","12.2","16.2","2024/03/20 12:46:00","10.0","2024/03/20 22:42:00","8.4","78","55","2024/03/20 15:09:00","3.1","10","9.1","80","2024/03/20 08:15:00","0.0","0.0","0.0","--","0.0","--","10.9","90.2","12.74","9.0","4.0","7","2024/03/20 13:00:00","0.8","14.0","14.8","15.0","16.0","16.0"
"21","1009.3","1020.5","1013.9","2024/03/21 00:01:00","1006.1","2024/03/21 23:53:00","13.3","17.9","2024/03/21 12:37:00","10.1","2024/03/21 04:52:00","7.8","70","50","2024/03/21 12:14:00","2.4","10","6.2","10","2024/03/21 15:03:00","0.0","0.0","0.0","--","0.0","--","5.9","48.7","9.29","18.0","3.7","7","2024/03/21 13:00:00","5.2","14.6","15.1","15.1","16.1","16.2"
"22","1003.3","1014.3","1006.2","2024/03/22 00:01:00","1000.9","2024/03/22 16:03:00","17.7","20.3","2024/03/22 18:26:00","13.6","2024/03/22 00:01:00","11.6","68","52","2024/03/22 13:01:00","4.4","210","12.1","200","2024/03/22 15:22:00","0.0","0.0","0.0","--","0.0","--","2.1","17.3","6.50","17.0","-4.0","4","2024/03/22 11:00:00","10.0","15.8","16.1","16.1","16.6","16.6"
"23","1002.8","1013.7","1004.7","2024/03/23 09:17:00","1001.3","2024/03/23 02:56:00","19.2","22.4","2024/03/23 17:20:00","16.3","2024/03/23 11:59:00","17.4","90","77","2024/03/23 00:01:00","3.1","210","11.4","200","2024/03/23 20:44:00","0.5","1.1","0.5","2024/03/23 11:51:00","0.5","2024/03/23 11:25:00","1.8","14.8","2.60","7.0","-1.5","X","--","9.2","18.1","17.8","17.5","17.3","17.2"
"24","1003.6","1014.3","1006.5","2024/03/24 08:33:00","1001.4","2024/03/24 16:14:00","23.5","27.2","2024/03/24 13:18:00","19.2","2024/03/24 08:19:00","19.7","80","66","2024/03/24 12:33:00","6.1","210","17.7","220","2024/03/24 19:47:00","0.0","0.0","0.0","--","0.0","--","9.6","78.8","0.87","13.0","6.6","X","--","5.2","20.7","20.1","19.5","18.6","18.3"
"25","1001.7","1012.4","1003.8","2024/03/25 08:20:00","997.9","2024/03/25 16:22:00","23.6","26.9","2024/03/25 12:17:00","21.4","2024/03/25 03:57:00","20.2","81","69","2024/03/25 13:04:00","7.8","210","21.4","220","2024/03/25 15:52:00","0.0","0.0","0.0","--","0.0","--","10.2","83.5","2.87","19.0","6.7","X","--","4.0","21.5","21.3","20.8","20.0","19.6"
"26","1010.8","1021.9","1015.1","2024/03/26 22:14:00","1003.4","2024/03/26 00:01:00","15.4","22.9","2024/03/26 00:14:00","13.2","2024/03/26 23:51:00","13.3","87","75","2024/03/26 02:52:00","3.9","60","10.9","210","2024/03/26 00:06:00","0.0","0.0","0.0","--","0.0","--","1.0","8.2","2.20","9.0","2.3","X","--","9.8","17.4","18.7","19.2","20.0","19.9"
"27","1010.9","1022.1","1014.4","2024/03/27 00:01:00","1006.7","2024/03/27 23:56:00","14.0","17.5","2024/03/27 14:22:00","12.8","2024/03/27 02:00:00","11.3","84","66","2024/03/27 14:40:00","2.5","20","8.6","20","2024/03/27 00:15:00","0.0","0.0","0.0","--","0.0","--","3.4","27.7","3.69","15.0","-2.6","X","--","9.0","16.4","17.2","17.5","18.6","18.7"
"28","1001.9","1012.8","1006.6","2024/03/28 00:01:00","998.5","2024/03/28 15:35:00","17.7","23.2","2024/03/28 20:39:00","12.9","2024/03/28 00:29:00","14.5","82","68","2024/03/28 16:40:00","3.3","210","13.1","220","2024/03/28 13:17:00","T","0.9","T","2024/03/28 07:50:00","T","2024/03/28 07:50:00","0.8","6.5","3.09","8.2","-1.8","X","--","9.0","17.2","17.5","17.7","18.5","18.6"
"29","1004.6","1015.6","1006.6","2024/03/29 09:46:00","1002.8","2024/03/29 16:06:00","16.8","21.4","2024/03/29 12:13:00","13.9","2024/03/29 04:08:00","15.1","90","65","2024/03/29 12:13:00","1.9","40","7.3","30","2024/03/29 00:02:00","0.0","0.0","0.0","--","0.0","--","10.9","88.6","1.57","14.0","3.9","X","--","3.4","18.3","18.6","18.5","18.8","18.7"
"30","1003.4","1014.3","1005.7","2024/03/30 08:21:00","1001.0","2024/03/30 15:06:00","18.8","24.7","2024/03/30 13:27:00","16.5","2024/03/30 01:25:00","17.2","91","64","2024/03/30 12:10:00","1.5","270","10.0","200","2024/03/30 16:08:00","11.0","1.5","7.0","2024/03/30 15:53:00","10.5","2024/03/30 15:50:00","4.3","35.0","2.25","6.6","-3.7","X","--","6.8","19.8","19.8","19.6","19.7","19.6"
"31","999.9","1010.7","1003.2","2024/03/31 22:35:00","996.6","2024/03/31 13:54:00","19.7","22.4","2024/03/31 19:47:00","17.0","2024/03/31 02:12:00","18.7","94","79","2024/03/31 19:48:00","4.2","200","15.3","210","2024/03/31 05:59:00","17.5","4.6","7.5","2024/03/31 02:10:00","11.5","2024/03/31 01:49:00","0.5","4.0","2.09","9.6","-1.0","X","--","9.4","19.4","19.7","19.7","19.9","19.9"
