"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"22","1011.8","1014.9","1014.0","2024/03/22 08:23:00","1009.8","2024/03/22 15:24:00","23.4","27.4","2024/03/22 13:33:00","18.9","2024/03/22 05:54:00","15.9","64","46","2024/03/22 11:03:00","1.9","40","6.9","240","2024/03/22 16:32:00","0.0","0.0","0.0","--","0.0","--","7.2","59.4","19.41","14.6","9","2024/03/22 13:00:00","5.8"
"23","1011.5","1014.6","1013.1","2024/03/23 23:04:00","1009.4","2024/03/23 03:49:00","26.4","30.0","2024/03/23 11:04:00","23.1","2024/03/23 02:56:00","20.5","71","58","2024/03/23 11:32:00","4.2","160","13.8","190","2024/03/23 13:27:00","0.0","0.0","0.0","--","0.0","--","9.3","76.5","21.69","26.0","11","2024/03/23 13:00:00","6.8"
"24","1013.1","1016.2","1015.3","2024/03/24 08:22:00","1011.5","2024/03/24 15:22:00","27.0","31.1","2024/03/24 12:35:00","24.5","2024/03/24 05:43:00","22.6","78","55","2024/03/24 11:34:00","2.8","220","8.5","210","2024/03/24 09:47:00","0.0","0.0","0.0","--","0.0","--","9.1","74.8","22.77","17.4","12","2024/03/24 13:00:00","7.4"
"25","1011.9","1015.0","1013.6","2024/03/25 09:42:00","1010.1","2024/03/25 16:08:00","27.2","30.7","2024/03/25 14:15:00","25.3","2024/03/25 05:14:00","22.6","77","54","2024/03/25 13:56:00","3.8","180","11.9","190","2024/03/25 13:27:00","0.0","0.0","0.0","--","0.0","--","10.0","82.0","23.83","14.4","11","2024/03/25 13:00:00","2.6"
"26","1014.0","1017.1","1016.4","2024/03/26 21:57:00","1011.5","2024/03/26 03:03:00","26.4","30.5","2024/03/26 13:27:00","23.2","2024/03/26 23:46:00","21.7","76","62","2024/03/26 10:49:00","2.8","360","9.6","300","2024/03/26 12:29:00","0.0","0.0","0.0","--","0.0","--","7.7","63.0","20.99","12.6","10","2024/03/26 13:00:00","6.4"
"27","1015.2","1018.3","1017.8","2024/03/27 09:10:00","1012.8","2024/03/27 16:37:00","24.8","30.1","2024/03/27 15:01:00","20.7","2024/03/27 06:29:00","18.3","68","50","2024/03/27 13:57:00","3.0","360","8.9","320","2024/03/27 15:18:00","0.0","0.0","0.0","--","0.0","--","6.8","55.5","21.36","10.0","11","2024/03/27 13:00:00","6.0"
"28","1010.6","1013.7","1014.0","2024/03/28 00:01:00","1007.7","2024/03/28 16:14:00","26.3","31.1","2024/03/28 16:01:00","23.6","2024/03/28 02:00:00","21.1","73","51","2024/03/28 15:55:00","2.3","140","7.7","330","2024/03/28 11:54:00","0.0","0.0","0.0","--","0.0","--","5.0","40.8","16.84","19.2","8","2024/03/28 11:00:00","7.0"
"29","1010.9","1014.0","1012.8","2024/03/29 22:30:00","1009.3","2024/03/29 15:12:00","26.3","29.7","2024/03/29 13:02:00","24.1","2024/03/29 06:22:00","21.6","76","61","2024/03/29 11:29:00","2.5","300","7.4","320","2024/03/29 11:59:00","0.0","0.0","0.0","--","0.0","--","4.4","35.8","16.94","9.4","8","2024/03/29 13:00:00","9.2"
"30","1011.8","1014.9","1013.6","2024/03/30 09:24:00","1010.2","2024/03/30 14:57:00","26.7","29.4","2024/03/30 12:18:00","24.3","2024/03/30 07:19:00","22.4","78","64","2024/03/30 10:43:00","2.4","230","8.2","250","2024/03/30 13:29:00","T","0.1","T","2024/03/30 04:01:00","T","2024/03/30 04:01:00","7.0","56.9","19.19","13.0","9","2024/03/30 13:00:00","7.4"
"31","1009.9","1013.0","1011.4","2024/03/31 10:19:00","1007.9","2024/03/31 16:22:00","27.3","29.9","2024/03/31 12:58:00","24.7","2024/03/31 06:23:00","22.3","75","58","2024/03/31 16:41:00","2.4","210","8.8","210","2024/03/31 08:18:00","0.0","0.0","0.0","--","0.0","--","6.0","48.7","20.03","18.0","9","2024/03/31 13:00:00","5.6"
