"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"10","900.7","1516.5","901.4","2023/07/10 09:42:00","899.9","2023/07/10 15:10:00","24.0","30.6","2023/07/10 13:43:00","20.6","2023/07/10 05:26:00","21.5","87","61","2023/07/10 13:26:00","1.1","300","5.2","180","2023/07/10 00:58:00","0.0","0.0","0.0","--","0.0","--","7.1","52.4","24.63","30.0","4.9","16","2023/07/10 13:00:00","4.4","26.4","25.3","25.4","25.4","25.7","25.7","24.9"
"11","901.1","1519.8","902.5","2023/07/11 08:22:00","899.7","2023/07/11 00:50:00","22.8","30.9","2023/07/11 13:26:00","19.1","2023/07/11 17:24:00","20.9","89","61","2023/07/11 13:27:00","1.2","300","6.9","350","2023/07/11 17:18:00","38.5","4.4","13.0","2023/07/11 17:00:00","35.0","2023/07/11 16:51:00","4.1","30.5","16.67","26.0","-3.5","14","2023/07/11 13:00:00","8.0","25.4","24.8","25.1","25.2","25.7","25.8","25.0"
"12","900.7","1514.9","901.7","2023/07/12 08:50:00","899.6","2023/07/12 15:12:00","23.1","29.2","2023/07/12 13:11:00","19.8","2023/07/12 03:06:00","21.3","90","64","2023/07/12 13:20:00","0.8","340","5.8","360","2023/07/12 15:18:00","2.0","0.5","1.0","2023/07/12 17:20:00","2.0","2023/07/12 17:16:00","5.7","42.1","20.66","26.0","-3.8","12","2023/07/12 13:00:00","5.4","24.7","24.4","24.6","24.6","25.1","25.6","25.1"
"13","898.9","1498.4","900.3","2023/07/13 00:01:00","897.2","2023/07/13 17:00:00","23.7","28.2","2023/07/13 15:47:00","20.1","2023/07/13 03:17:00","21.6","89","64","2023/07/13 12:58:00","0.8","320","4.0","210","2023/07/13 18:57:00","0.0","0.0","0.0","--","0.0","--","6.5","48.4","20.15","30.0","2.6","10","2023/07/13 13:00:00","4.0","24.9","24.7","24.9","24.9","25.3","25.6","25.1"
"14","896.5","1476.9","898.3","2023/07/14 06:50:00","894.5","2023/07/14 16:52:00","24.6","30.1","2023/07/14 14:29:00","20.7","2023/07/14 03:48:00","21.4","84","61","2023/07/14 14:01:00","1.1","190","5.1","260","2023/07/14 02:22:00","0.0","0.0","0.0","--","0.0","--","7.8","58.1","24.20","30.0","3.5","13","2023/07/14 13:00:00","6.2","25.8","25.2","25.4","25.3","25.6","25.6","25.1"
"15","894.0","1453.5","895.8","2023/07/15 00:15:00","892.4","2023/07/15 16:01:00","24.3","29.7","2023/07/15 14:18:00","21.9","2023/07/15 05:42:00","22.6","91","67","2023/07/15 10:49:00","0.8","180","3.8","180","2023/07/15 21:23:00","1.0","0.5","0.5","2023/07/15 15:28:00","1.0","2023/07/15 15:15:00","3.3","24.4","14.04","28.0","-3.0","10","2023/07/15 11:00:00","5.6","25.7","25.4","25.5","25.5","25.9","25.7","25.1"
"16","894.0","1451.3","896.5","2023/07/16 22:08:00","892.2","2023/07/16 04:33:00","23.0","29.2","2023/07/16 12:29:00","21.2","2023/07/16 16:08:00","22.1","95","69","2023/07/16 10:26:00","1.0","140","8.5","260","2023/07/16 14:49:00","18.0","1.5","7.0","2023/07/16 13:17:00","16.0","2023/07/16 13:14:00","2.7","20.1","12.38","15.0","-3.4","12","2023/07/16 11:00:00","4.8","24.7","25.1","25.2","25.4","25.7","25.8","25.2"
"17","897.3","1482.5","900.0","2023/07/17 22:00:00","895.1","2023/07/17 04:54:00","22.8","29.4","2023/07/17 13:29:00","20.1","2023/07/17 20:53:00","21.7","94","69","2023/07/17 13:30:00","1.1","320","7.9","140","2023/07/17 14:30:00","44.0","6.0","8.0","2023/07/17 18:38:00","18.5","2023/07/17 14:17:00","2.2","16.4","12.48","24.0","-3.7","9","2023/07/17 13:00:00","8.5","24.5","24.5","24.7","24.8","25.3","25.7","25.2"
"18","900.9","1516.3","902.1","2023/07/18 19:28:00","899.4","2023/07/18 02:52:00","22.1","27.3","2023/07/18 12:28:00","19.1","2023/07/18 20:25:00","21.0","94","77","2023/07/18 22:30:00","1.1","340","7.6","160","2023/07/18 14:44:00","52.0","5.9","8.0","2023/07/18 15:01:00","22.0","2023/07/18 14:31:00","1.5","11.1","9.98","24.0","-1.7","9","2023/07/18 13:00:00","9.3","23.6","23.5","23.8","24.0","24.5","25.4","25.2"
"19","901.0","1517.2","902.0","2023/07/19 11:00:00","899.8","2023/07/19 19:56:00","22.4","27.7","2023/07/19 11:13:00","20.2","2023/07/19 05:08:00","20.7","90","72","2023/07/19 10:29:00","1.0","340","5.0","200","2023/07/19 21:45:00","41.5","3.8","9.5","2023/07/19 15:58:00","25.5","2023/07/19 15:29:00","3.4","25.3","14.74","26.0","-1.5","11","2023/07/19 11:00:00","8.4","23.9","23.1","23.3","23.5","24.0","25.0","25.2"
"20","900.4","1512.3","902.3","2023/07/20 21:28:00","898.6","2023/07/20 16:54:00","22.8","28.1","2023/07/20 13:47:00","20.0","2023/07/20 22:29:00","21.4","92","73","2023/07/20 09:27:00","1.1","290","7.3","190","2023/07/20 20:21:00","60.0","5.2","8.5","2023/07/20 17:25:00","22.5","2023/07/20 17:10:00","4.6","34.2","16.76","24.1","-3.3","9","2023/07/20 10:00:00","7.4","24.3","23.3","23.5","23.6","24.0","24.8","25.0"
"21","901.7","1525.2","903.8","2023/07/21 23:26:00","899.9","2023/07/21 15:50:00","23.2","29.2","2023/07/21 14:32:00","19.9","2023/07/21 00:11:00","21.8","92","68","2023/07/21 14:34:00","0.9","320","5.6","260","2023/07/21 15:49:00","3.0","0.5","1.0","2023/07/21 23:33:00","2.5","2023/07/21 23:33:00","5.7","42.5","19.97","30.0","-3.5","10","2023/07/21 11:00:00","5.4","24.8","23.7","23.9","23.8","24.2","24.8","24.9"
"22","902.9","1537.1","903.9","2023/07/22 00:23:00","901.5","2023/07/22 15:51:00","22.9","27.8","2023/07/22 11:18:00","20.4","2023/07/22 05:27:00","22.0","95","74","2023/07/22 13:25:00","0.8","320","3.8","250","2023/07/22 17:43:00","5.0","1.0","2.0","2023/07/22 16:20:00","2.5","2023/07/22 00:15:00","2.2","16.5","12.82","28.0","-2.1","8","2023/07/22 12:00:00","6.6","24.3","24.2","24.4","24.4","24.8","24.9","24.8"
"23","901.7","1525.7","903.5","2023/07/23 00:01:00","900.3","2023/07/23 14:38:00","22.8","28.3","2023/07/23 12:31:00","19.1","2023/07/23 17:19:00","22.0","96","75","2023/07/23 09:29:00","1.1","320","8.5","200","2023/07/23 17:05:00","30.0","3.0","6.0","2023/07/23 17:00:00","21.0","2023/07/23 16:24:00","3.0","22.5","15.02","22.0","-2.5","11","2023/07/23 12:00:00","7.3","24.6","24.2","24.4","24.4","24.8","25.0","24.8"
"24","899.6","1504.0","901.0","2023/07/24 09:52:00","898.0","2023/07/24 16:14:00","23.1","28.0","2023/07/24 13:33:00","20.3","2023/07/24 02:36:00","21.2","90","67","2023/07/24 13:08:00","0.8","310","4.2","50","2023/07/24 02:52:00","0.0","0.0","0.0","--","0.0","--","3.9","29.3","17.87","30.0","3.1","11","2023/07/24 13:00:00","8.0","24.0","23.6","23.9","23.9","24.3","25.0","24.9"
"25","896.6","1477.4","898.8","2023/07/25 00:01:00","894.6","2023/07/25 16:39:00","24.6","29.4","2023/07/25 13:49:00","20.5","2023/07/25 03:48:00","21.0","81","59","2023/07/25 21:41:00","1.0","320","6.3","80","2023/07/25 23:33:00","0.0","0.0","0.0","--","0.0","--","6.5","48.9","20.13","30.0","-2.9","10","2023/07/25 13:00:00","5.2","25.2","24.2","24.4","24.4","24.8","25.0","24.8"
"26","892.1","1434.8","894.9","2023/07/26 00:01:00","889.6","2023/07/26 18:12:00","23.7","25.9","2023/07/26 09:47:00","21.3","2023/07/26 19:18:00","18.8","74","59","2023/07/26 03:46:00","1.6","50","6.8","150","2023/07/26 14:01:00","5.5","5.3","1.0","2023/07/26 12:14:00","1.0","2023/07/26 12:14:00","0.0","0.0","3.67","26.0","-2.9","2","2023/07/26 12:00:00","10.0","22.8","23.6","23.8","24.3","24.8","25.1","24.9"
"27","889.2","1405.7","891.1","2023/07/27 00:19:00","888.2","2023/07/27 23:23:00","24.5","27.0","2023/07/27 03:40:00","20.3","2023/07/27 22:23:00","19.2","73","51","2023/07/27 05:02:00","1.6","140","17.4","140","2023/07/27 03:51:00","5.0","5.0","1.0","2023/07/27 21:45:00","2.5","2023/07/27 21:29:00","0.0","0.0","7.37","26.0","-0.4","6","2023/07/27 13:00:00","10.0","22.8","23.1","23.2","23.6","24.1","24.7","24.9"
"28","891.2","1421.9","896.3","2023/07/28 21:20:00","886.5","2023/07/28 05:25:00","21.5","26.3","2023/07/28 01:36:00","19.8","2023/07/28 05:02:00","20.1","93","50","2023/07/28 01:35:00","1.5","220","11.0","120","2023/07/28 01:32:00","4.0","6.9","1.0","2023/07/28 14:53:00","2.0","2023/07/28 14:37:00","0.0","0.0","4.42","30.0","-0.2","3","2023/07/28 13:00:00","10.0","22.3","22.6","22.7","23.2","23.8","24.5","24.7"
"29","897.8","1486.8","900.0","2023/07/29 21:01:00","895.2","2023/07/29 00:01:00","23.0","27.9","2023/07/29 11:04:00","20.6","2023/07/29 00:06:00","20.3","85","67","2023/07/29 08:54:00","0.9","330","5.0","210","2023/07/29 01:09:00","18.0","3.2","8.0","2023/07/29 18:30:00","15.0","2023/07/29 18:23:00","2.8","21.0","13.55","30.0","-0.6","12","2023/07/29 11:00:00","8.6","23.7","22.9","23.0","23.1","23.6","24.2","24.6"
"30","899.1","1499.0","900.1","2023/07/30 08:08:00","898.1","2023/07/30 15:55:00","22.4","27.7","2023/07/30 12:34:00","20.3","2023/07/30 22:54:00","21.5","95","71","2023/07/30 12:38:00","1.3","320","4.7","200","2023/07/30 22:32:00","5.5","3.0","1.5","2023/07/30 16:49:00","3.0","2023/07/30 14:43:00","3.1","23.3","14.97","25.6","-2.4","11","2023/07/30 13:00:00","9.2","24.5","23.7","23.9","23.7","24.1","24.2","24.4"
"31","897.9","1487.9","899.5","2023/07/31 00:01:00","895.8","2023/07/31 16:45:00","22.6","27.5","2023/07/31 13:57:00","20.3","2023/07/31 00:01:00","21.8","95","76","2023/07/31 12:40:00","0.7","150","4.6","200","2023/07/31 17:40:00","4.0","1.8","1.5","2023/07/31 15:07:00","1.5","2023/07/31 15:07:00","2.3","17.3","13.10","28.0","-1.7","7","2023/07/31 13:00:00","9.0","24.8","23.9","24.0","24.0","24.4","24.4","24.4"
