"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"10","763.7","3120.6","764.8","2024/01/10 09:32:00","762.8","2024/01/10 13:56:00","5.1","9.1","2024/01/10 13:58:00","2.4","2024/01/10 05:23:00","4.2","94","69","2024/01/10 09:25:00","0.7","300","4.7","280","2024/01/10 14:28:00","0.0","0.0","0.0","--","0.0","--","3.9","36.3","13.23","15.2","2.0","5.2","10.2","9.2","9.7","9.9","10.3"
"11","764.0","3120.7","765.1","2024/01/11 09:06:00","763.0","2024/01/11 15:26:00","4.1","8.8","2024/01/11 13:01:00","0.9","2024/01/11 03:41:00","-3.4","59","40","2024/01/11 23:47:00","1.2","250","6.8","130","2024/01/11 06:23:00","0.0","0.0","0.0","--","0.0","--","8.0","74.4","16.99","29.2","1.9","0.4","8.9","8.0","8.8","9.5","10.1"
"12","764.3","3123.9","765.3","2024/01/12 09:37:00","763.4","2024/01/12 03:58:00","4.8","10.1","2024/01/12 12:31:00","1.9","2024/01/12 00:35:00","-1.3","66","40","2024/01/12 02:20:00","0.8","330","4.1","350","2024/01/12 14:07:00","0.0","0.0","0.0","--","0.0","--","8.8","81.7","17.99","30.0","1.1","0.2","8.4","7.4","8.1","8.9","9.6"
"13","765.5","3137.6","766.7","2024/01/13 20:55:00","764.0","2024/01/13 03:35:00","4.8","10.1","2024/01/13 11:22:00","1.0","2024/01/13 07:06:00","0.5","76","32","2024/01/13 22:52:00","1.0","340","3.9","250","2024/01/13 14:47:00","0.0","0.0","0.0","--","0.0","--","7.2","66.8","17.29","24.3","1.8","2.4","8.4","7.5","8.1","8.8","9.4"
"14","766.8","3153.7","768.1","2024/01/14 09:26:00","765.8","2024/01/14 03:51:00","5.5","9.2","2024/01/14 10:10:00","2.0","2024/01/14 04:37:00","-2.0","63","20","2024/01/14 01:58:00","0.8","350","3.9","350","2024/01/14 12:51:00","0.0","0.0","0.0","--","0.0","--","7.5","69.5","17.70","26.4","1.7","3.2","8.6","7.6","8.2","8.8","9.4"
"15","766.9","3155.0","768.1","2024/01/15 09:22:00","766.1","2024/01/15 14:26:00","5.7","10.8","2024/01/15 11:36:00","2.6","2024/01/15 01:54:00","-0.3","69","29","2024/01/15 02:05:00","1.0","70","4.5","80","2024/01/15 03:11:00","0.0","0.0","0.0","--","0.0","--","7.2","66.7","18.29","30.0","1.7","1.4","8.7","7.7","8.3","8.9","9.4"
"16","767.1","3155.5","768.2","2024/01/16 09:50:00","765.8","2024/01/16 04:18:00","5.0","10.2","2024/01/16 11:30:00","2.2","2024/01/16 04:14:00","3.5","90","68","2024/01/16 09:22:00","0.7","360","5.1","100","2024/01/16 10:49:00","0.0","0.0","0.0","--","0.0","--","4.6","42.5","13.27","26.0","1.5","3.8","8.7","7.8","8.4","8.9","9.4"
"17","766.7","3150.1","767.9","2024/01/17 09:07:00","765.6","2024/01/17 14:43:00","4.6","10.3","2024/01/17 11:16:00","1.9","2024/01/17 05:17:00","2.3","85","61","2024/01/17 09:55:00","0.9","80","4.5","100","2024/01/17 22:45:00","0.0","0.0","0.0","--","0.0","--","4.0","36.9","11.87","27.0","1.6","4.8","8.7","7.7","8.3","8.8","9.4"
"18","766.0","3146.8","767.5","2024/01/18 09:21:00","764.8","2024/01/18 14:08:00","6.8","11.2","2024/01/18 11:50:00","2.0","2024/01/18 01:51:00","4.1","83","63","2024/01/18 02:47:00","1.1","150","6.5","190","2024/01/18 09:35:00","0.0","0.0","0.0","--","0.0","--","3.7","34.1","12.89","21.0","0.5","7.4","9.1","8.0","8.5","8.8","9.3"
"19","765.6","3147.4","766.8","2024/01/19 09:40:00","764.4","2024/01/19 15:11:00","8.4","12.4","2024/01/19 11:49:00","5.5","2024/01/19 02:52:00","7.3","93","76","2024/01/19 00:43:00","0.7","40","5.6","120","2024/01/19 17:35:00","0.0","0.0","0.0","--","0.0","--","1.8","16.5","9.56","18.0","0.6","7.0","10.3","9.1","9.4","9.3","9.7"
"20","765.1","3142.9","766.4","2024/01/20 09:26:00","764.2","2024/01/20 14:04:00","8.1","12.4","2024/01/20 11:24:00","5.2","2024/01/20 21:46:00","6.9","92","64","2024/01/20 23:15:00","1.0","160","5.6","240","2024/01/20 10:08:00","0.0","0.0","0.0","--","0.0","--","3.4","31.1","13.87","19.0","0.7","6.6","11.0","9.9","10.1","9.9","10.1"
"21","766.1","3151.0","767.5","2024/01/21 09:37:00","765.1","2024/01/21 02:55:00","7.3","10.9","2024/01/21 13:25:00","4.8","2024/01/21 23:02:00","5.9","91","69","2024/01/21 01:06:00","1.0","120","6.1","300","2024/01/21 23:49:00","0.0","0.0","0.0","--","0.0","--","3.1","28.5","13.36","24.0","0.9","5.8","10.6","9.5","9.8","9.9","10.3"
"22","765.6","3144.2","766.9","2024/01/22 09:01:00","763.9","2024/01/22 14:36:00","6.6","12.1","2024/01/22 12:38:00","3.8","2024/01/22 07:09:00","4.8","90","57","2024/01/22 10:25:00","0.9","20","7.2","290","2024/01/22 23:07:00","0.0","0.0","0.0","--","0.0","--","6.6","60.3","18.33","30.0","-2.9","2.6","10.7","9.5","9.9","10.0","10.3"
"23","766.2","3144.8","767.5","2024/01/23 09:18:00","764.9","2024/01/23 03:59:00","3.8","5.9","2024/01/23 02:04:00","1.5","2024/01/23 06:49:00","3.8","100","98","2024/01/23 23:38:00","1.8","290","9.4","260","2024/01/23 03:45:00","15.5","5.7","1.5","2024/01/23 06:41:00","4.0","2024/01/23 07:40:00","0.0","0.0","1.66","5.2","-0.6","10.0","9.3","8.6","9.2","9.7","10.3"
"24","766.8","3148.4","768.0","2024/01/24 10:15:00","765.9","2024/01/24 04:23:00","3.7","8.4","2024/01/24 12:35:00","-0.2","2024/01/24 06:15:00","0.2","79","47","2024/01/24 13:03:00","1.6","220","6.2","270","2024/01/24 13:07:00","0.0","0.0","0.0","--","0.0","--","9.5","87.0","20.00","30.0","1.4","0.6","8.6","7.6","8.2","8.9","9.6"
"25","768.1","3161.6","769.3","2024/01/25 10:03:00","766.4","2024/01/25 04:06:00","3.2","5.7","2024/01/25 11:31:00","1.7","2024/01/25 05:52:00","2.9","97","80","2024/01/25 00:25:00","1.1","280","5.3","200","2024/01/25 13:07:00","0.0","0.0","0.0","--","0.0","--","0.6","5.5","6.80","6.4","0.8","8.3","8.3","7.4","7.9","8.6","9.3"
"26","768.6","3168.3","770.0","2024/01/26 09:02:00","767.7","2024/01/26 14:54:00","3.9","8.4","2024/01/26 10:26:00","1.4","2024/01/26 03:55:00","2.8","93","64","2024/01/26 09:25:00","0.8","260","3.6","300","2024/01/26 19:43:00","0.0","0.0","0.0","--","0.0","--","3.3","30.1","9.17","18.4","0.4","2.8","8.1","7.1","7.7","8.3","9.0"
"27","768.8","3173.2","770.2","2024/01/27 10:20:00","767.6","2024/01/27 15:00:00","5.4","9.9","2024/01/27 11:32:00","2.6","2024/01/27 00:05:00","3.8","90","67","2024/01/27 09:29:00","1.2","210","5.0","270","2024/01/27 12:44:00","0.0","0.0","0.0","--","0.0","--","4.6","41.7","13.95","18.4","0.5","5.5","8.6","7.6","8.0","8.3","8.9"
"28","769.2","3179.1","770.2","2024/01/28 21:33:00","768.1","2024/01/28 02:50:00","6.0","10.2","2024/01/28 11:32:00","2.6","2024/01/28 04:51:00","4.0","87","70","2024/01/28 10:06:00","0.9","220","4.3","150","2024/01/28 11:39:00","0.0","0.0","0.0","--","0.0","--","2.4","21.7","10.54","24.3","-0.4","6.6","8.9","7.9","8.3","8.6","9.1"
"29","768.9","3180.8","770.3","2024/01/29 09:16:00","767.2","2024/01/29 15:19:00","8.0","12.5","2024/01/29 13:59:00","5.6","2024/01/29 06:04:00","5.7","86","59","2024/01/29 12:43:00","1.0","160","5.9","300","2024/01/29 11:59:00","0.5","0.9","0.5","2024/01/29 06:16:00","0.5","2024/01/29 06:16:00","7.4","66.9","19.61","30.0","1.1","4.4","10.2","8.9","9.2","9.1","9.4"
"30","768.8","3182.7","770.0","2024/01/30 09:28:00","767.6","2024/01/30 03:54:00","8.4","12.3","2024/01/30 11:32:00","5.1","2024/01/30 03:15:00","5.4","82","60","2024/01/30 23:43:00","1.1","180","5.6","180","2024/01/30 07:02:00","0.0","0.0","0.0","--","0.0","--","5.1","46.3","15.48","18.6","2.6","5.4","10.2","9.1","9.5","9.5","9.8"
"31","768.8","3188.8","770.4","2024/01/31 09:16:00","767.5","2024/01/31 15:01:00","10.9","16.0","2024/01/31 12:03:00","7.3","2024/01/31 23:03:00","4.4","65","45","2024/01/31 10:41:00","1.3","150","5.0","200","2024/01/31 11:05:00","0.0","0.0","0.0","--","0.0","--","8.7","78.8","19.44","27.0","1.9","2.6","10.8","9.5","9.9","9.9","10.1"
