"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"15","901.6","1522.9","903.7","2023/09/15 21:42:00","900.1","2023/09/15 14:31:00","22.3","27.6","2023/09/15 12:08:00","20.5","2023/09/15 05:40:00","21.1","93","69","2023/09/15 12:16:00","0.7","200","4.9","200","2023/09/15 17:30:00","0.0","0.0","0.0","--","0.0","--","3.2","26.3","13.09","25.0","2.6","9","2023/09/15 12:00:00","6.2","23.4","23.4","23.5","23.5","23.9","23.9","23.8"
"16","902.8","1534.9","904.2","2023/09/16 09:29:00","901.5","2023/09/16 16:07:00","22.8","27.8","2023/09/16 14:46:00","20.1","2023/09/16 05:27:00","21.5","93","73","2023/09/16 14:47:00","0.6","310","4.8","310","2023/09/16 13:48:00","0.0","0.0","0.0","--","0.0","--","4.2","34.5","13.50","28.0","2.5","6","2023/09/16 11:00:00","9.6","23.6","23.4","23.5","23.5","24.0","24.0","23.9"
"17","902.3","1530.0","903.8","2023/09/17 10:06:00","901.0","2023/09/17 03:04:00","22.6","26.7","2023/09/17 14:10:00","20.8","2023/09/17 04:46:00","21.8","95","80","2023/09/17 13:46:00","0.6","320","3.6","200","2023/09/17 21:55:00","0.0","0.0","0.0","--","0.0","--","1.3","10.6","10.41","20.0","2.0","4","2023/09/17 14:00:00","9.2","23.8","23.4","23.6","23.6","24.0","24.1","23.9"
"18","902.7","1533.5","903.7","2023/09/18 09:37:00","901.5","2023/09/18 04:43:00","22.0","26.8","2023/09/18 14:12:00","18.7","2023/09/18 18:30:00","21.3","96","78","2023/09/18 14:14:00","1.0","330","10.9","170","2023/09/18 18:19:00","29.5","3.5","10.5","2023/09/18 18:08:00","19.0","2023/09/18 17:59:00","0.8","6.6","9.05","18.0","-2.1","5","2023/09/18 12:00:00","7.2","22.9","22.8","23.2","23.4","23.8","24.1","24.0"
"19","902.5","1532.1","903.8","2023/09/19 08:07:00","901.6","2023/09/19 14:47:00","22.8","27.8","2023/09/19 12:28:00","20.2","2023/09/19 03:59:00","21.0","90","72","2023/09/19 13:39:00","1.0","290","4.9","260","2023/09/19 14:10:00","0.0","0.0","0.0","--","0.0","--","7.9","65.3","17.81","26.0","3.1","8","2023/09/19 13:00:00","3.6","23.4","22.6","22.9","22.9","23.3","24.0","24.0"
"20","901.7","1524.9","902.9","2023/09/20 09:38:00","900.1","2023/09/20 16:48:00","23.1","28.1","2023/09/20 13:43:00","20.2","2023/09/20 05:21:00","22.0","94","71","2023/09/20 13:35:00","0.9","280","4.3","280","2023/09/20 14:13:00","0.0","0.0","0.0","--","0.0","--","7.4","60.9","16.94","24.0","3.2","8","2023/09/20 14:00:00","4.4","24.3","23.6","23.8","23.7","24.1","24.1","24.0"
"21","901.8","1525.8","903.1","2023/09/21 09:19:00","900.7","2023/09/21 17:37:00","22.7","25.8","2023/09/21 13:02:00","20.8","2023/09/21 06:34:00","22.4","98","85","2023/09/21 13:03:00","0.6","330","3.3","200","2023/09/21 01:45:00","0.0","0.0","0.0","--","0.0","--","1.0","8.2","8.55","16.0","1.8","4","2023/09/21 13:00:00","9.2","23.9","23.9","24.0","24.0","24.4","24.3","24.0"
"22","901.2","1520.9","902.5","2023/09/22 21:02:00","899.7","2023/09/22 14:43:00","23.3","28.2","2023/09/22 14:20:00","20.8","2023/09/22 05:08:00","22.1","93","71","2023/09/22 13:14:00","0.8","160","3.8","210","2023/09/22 04:45:00","1.0","0.6","0.5","2023/09/22 20:23:00","1.0","2023/09/22 20:12:00","4.5","37.2","14.27","27.0","-2.4","8","2023/09/22 13:00:00","5.0","24.2","23.9","24.0","23.9","24.3","24.3","24.1"
"23","901.0","1518.7","901.9","2023/09/23 20:30:00","899.8","2023/09/23 15:30:00","23.2","27.6","2023/09/23 13:56:00","20.6","2023/09/23 05:33:00","22.1","94","74","2023/09/23 12:48:00","0.7","290","3.9","200","2023/09/23 13:45:00","1.5","1.0","1.0","2023/09/23 18:59:00","1.5","2023/09/23 18:30:00","5.0","41.4","13.99","26.0","-2.5","7","2023/09/23 11:00:00","5.6","24.4","23.9","24.1","24.1","24.5","24.4","24.1"
"24","901.2","1520.6","902.7","2023/09/24 08:36:00","899.8","2023/09/24 17:18:00","23.3","27.0","2023/09/24 14:02:00","20.8","2023/09/24 05:49:00","22.3","95","76","2023/09/24 12:04:00","0.7","330","4.3","350","2023/09/24 15:26:00","0.0","0.0","0.0","--","0.0","--","3.1","25.7","12.44","18.0","2.0","7","2023/09/24 12:00:00","6.0","24.3","24.0","24.1","24.2","24.5","24.5","24.2"
"25","901.2","1520.8","902.5","2023/09/25 09:02:00","899.8","2023/09/25 15:58:00","23.3","27.6","2023/09/25 13:33:00","20.8","2023/09/25 04:30:00","21.8","91","74","2023/09/25 13:36:00","1.1","320","5.5","190","2023/09/25 00:26:00","T","0.2","T","2023/09/25 20:12:00","T","2023/09/25 20:12:00","4.1","34.1","11.51","23.0","-2.3","6","2023/09/25 11:00:00","6.0","24.0","23.9","24.0","24.1","24.5","24.6","24.3"
"26","901.2","1521.0","902.6","2023/09/26 08:38:00","900.2","2023/09/26 14:54:00","22.9","25.9","2023/09/26 14:06:00","21.3","2023/09/26 05:07:00","22.3","96","85","2023/09/26 14:07:00","0.9","200","4.6","210","2023/09/26 22:09:00","0.0","0.0","0.0","--","0.0","--","1.5","12.6","10.18","17.0","1.5","5","2023/09/26 13:00:00","8.4","24.5","24.1","24.2","24.2","24.6","24.5","24.3"
"27","900.6","1514.6","902.0","2023/09/27 23:05:00","899.1","2023/09/27 15:25:00","22.9","26.2","2023/09/27 14:00:00","20.8","2023/09/27 04:31:00","21.9","95","80","2023/09/27 14:22:00","1.0","200","3.8","200","2023/09/27 22:32:00","T","0.2","T","2023/09/27 16:06:00","T","2023/09/27 16:06:00","1.5","12.5","9.83","19.6","-1.9","5","2023/09/27 13:00:00","7.0","24.4","24.0","24.1","24.2","24.5","24.6","24.3"
"28","901.7","1524.7","903.1","2023/09/28 22:26:00","900.5","2023/09/28 15:22:00","23.0","27.3","2023/09/28 12:55:00","20.4","2023/09/28 05:15:00","21.4","91","73","2023/09/28 08:41:00","1.0","200","4.3","210","2023/09/28 19:46:00","0.0","0.0","0.0","--","0.0","--","4.6","38.7","14.34","24.0","2.1","7","2023/09/28 13:00:00","7.0","24.3","24.0","24.1","24.1","24.5","24.6","24.3"
"29","901.9","1527.5","903.0","2023/09/29 00:01:00","900.5","2023/09/29 15:45:00","23.5","28.5","2023/09/29 13:33:00","19.9","2023/09/29 05:48:00","21.8","91","68","2023/09/29 13:14:00","0.9","190","4.4","280","2023/09/29 15:24:00","0.0","0.0","0.0","--","0.0","--","7.7","64.9","16.31","27.0","2.0","8","2023/09/29 13:00:00","3.6","24.9","24.2","24.3","24.3","24.6","24.6","24.4"
"30","900.2","1512.1","901.8","2023/09/30 00:01:00","898.9","2023/09/30 15:09:00","23.5","27.8","2023/09/30 13:57:00","21.6","2023/09/30 04:51:00","22.6","95","75","2023/09/30 13:58:00","0.9","180","4.2","260","2023/09/30 14:11:00","0.0","0.0","0.0","--","0.0","--","5.0","42.3","12.90","19.0","1.9","7","2023/09/30 12:00:00","3.8","25.0","24.3","24.5","24.5","24.8","24.7","24.4"
